Record ID,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Subspecies,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality,Record number
32734cba-2b92-466e-a39c-d368cd2a2f77,NE 109821,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15870,NE AVH data,in65,University of New England,co65,N.C.W. Beadle Herbarium,,NE,NE,"Kosciuszko National Park, Thredbo River, 5.4 km NW of Jindabyne",-36.37138889,148.5855556,,-36.37138889,148.5855556,,,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,930,930,,,,"Medd, R.W.",2019,5,1,1/05/2019,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE,217096a
f4a14e34-0559-480f-9437-99e683f3c37f,NE 109822,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15870,NE AVH data,in65,University of New England,co65,N.C.W. Beadle Herbarium,,NE,NE,"Kosciuszko National Park, Thredbo River, 5.4 km NW of Jindabyne",-36.36666667,148.5833333,,-36.36666667,148.5833333,,,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,930,930,,,,"Medd, R.W.",2019,5,1,1/05/2019,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE,217096b
5abc69a9-144d-477c-b478-311bd2563641,NSW 134369,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Kosciusko State Park Camping site on Waste Pt. [Thredbo and Snowy River].,-36.35,148.6,,-36.35,148.6,,25000,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,,,,,,"Stead, T.Y.",,,,,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,95
9c7cc4b3-6425-4f25-aac8-80cfa6072d6d,NSW 134364,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Waste Point on Snowy River.,-36.35,148.6,,-36.35,148.6,,25000,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,914,914,,,,"Phillips, M.E.",1961,1,12,12/01/1961,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
43edba23-a5de-40b7-9034-ab9e5c3614f0,CANB 790652.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,"Thredbo River, Waste Point.",-36.35,148.5833,,-36.35,148.5833,,1000,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,,,,,,"Wimbush, D.J.",1961,12,18,18/12/1961,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
24f03d57-8d70-4825-a7d9-a6906828e34c,CANB 790650.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,"Thredbo River, Waste Point.",-36.35,148.5833,,-36.35,148.5833,,1000,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,,,,,,"Wimbush, D.J.",1961,12,18,18/12/1961,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
b5de44c3-8159-433a-a629-7145d8af0de1,CBG 3378.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CBG,"Waste Point, near Jindabyne. On banks of the Snowy River.",-36.3333,148.5833,,-36.3333,148.5833,,2000,Australia,New South Wales,Snowy River (A),,Australian Alps,,,,,,"Phillips, M.E.",1961,1,12,12/01/1961,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
4c01c621-d5df-4548-8280-47f9dd6b72c1,CANB 790688.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,"Snowy River, Waste Point.",-36.3333,148.5667,,-36.3333,148.5667,,1000,Australia,New South Wales,Snowy River (A),,Australian Alps,,,,,,"Wimbush, D.J.",1961,11,3,3/11/1961,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
72499d19-c043-4f9e-ba69-89a176e83bf5,CANB 339097.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,4.3 km NW of Jindabyne Pumping Station.,-36.3167,148.55,,-36.3167,148.55,,1000,Australia,New South Wales,Snowy River (A),,Australian Alps,1280,1280,,,,"Martensz, P.N.",1972,2,25,25/02/1972,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,733a
68528fa9-569a-4220-aa2e-a2e8af9cb5d4,CANB 339096.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,4.3 km NW of Jindabyne Pumping Station.,-36.3167,148.55,,-36.3167,148.55,,1000,Australia,New South Wales,Snowy River (A),,Australian Alps,1280,1280,,,,"Martensz, P.N.",1972,2,25,25/02/1972,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,733
